id,name,logo,address,phone,email,website,createdAt,updatedAt
194,AFAD GENÇLÝK VE SPOR,,,,,,,
195,LÜLEBURGAZ ZÝRVE EÐÝTÝM GSK,,,,,,,
196,HATAY B. ÞEHÝR BLD.,,,,,,,
197,DÜZCE BELEDÝYESÝ,,,,,,,
198,ULAK HABERLEÞME,,,,,,,
199,ÝSTANBUL ÜNÝVERSÝTESÝ,,,,,,,
200,ADALAR SU SPORLARI,,,,,,,
201,GÜZERGAH ÝZCÝLÝK GENÇLÝK VE SPOR KULÜBÜ,,,,,,,
202,ÝSTANBUL ÜNÝVERSÝTESÝ SPOR BÝRLIÐI ,,,,,,,
203,YAKUTÝYE SPOR,,,,,,,
204,BAHÇELÝEVLER BELEDÝYESÝ,,,,,,,
205,KAPADOKYA DOÐA SPORLARI,,,,,,,
206,KARAMAN ÝL ÖZEL ÝDARE,,,,,,,
207,NAZÝLLÝ ÝL ÖZEL ÝDARE,,,,,,,
208,ÝSTANBUL KARABURUN SU VE DOÐA SPORLARI KULÜBÜ,,,,,,,
209,ÝZGEM SPOR KULÜBÜ,,,,,,,
210,BANDIRMA MASA TENÝSÝ SPOR,,,,,,,
211,BESNÝ GENÇLÝK VE SPOR,,,,,,,
212,BORNOVA BELEDÝYESÝ,,,,,,,
213,SAKARYA BÜYÜKÞEHÝR BELEDÝYESÝ,,,,,,,
214,ANTAKYA BELEDÝYESÝ,,,,,,,
215,MEHMET REFÝK GÜVEN ANADOLU LÝSESÝ,,,,,,,
216,SÝVAS MASA TENÝSCÝLERÝ SPOR DERNEÐÝ,,,,,,,
217,MT MASTERS SPOR,,,,,,,
218,BARBAROS HAYREDDÝN SPOR,,,,,,,
219,ANADOLU ÜNÝVERSÝTESÝ,,,,,,,
220,DERÝNCE BELEDÝYESÝ,,,,,,,
221,BOLU ÇÝMENTO,,,,,,,
222,BOSCH SPOR,,,,,,,
223,OSTÝM SPOR,,,,,,,
224,RÝXOS KÜLTÜR SANAT VE SPOR,,,,,,,
225,SÜLEYMAN OÐUZ ÝOO,,,,,,,
226,DÝYANET GENÇLÝK SPOR,,,,,,,
227,ARENA SPOR,,,,,,,
228,AYDINPINAR AKADEMÝ SPOR,,,,,,,
229,DENÝZLÝ DOÐAN SPOR,,,,,,,
230,GAZÝANTEP BELEDÝYE SPOR,,,,,,,
231,TÜRK SÝLAHLI KUVVETLERÝ GÜCÜ,,,,,,,
232,SULTANGAZÝ BELEDÝYESÝ GSK,,,,,,,
233,YILDIZ RAKETLER SPOR,,,,,,,
234,HENDEK OLÝMPÝK SPOR,,,,,,,
235,KASTAMONU ORMANSPOR,,,,,,,
236,KOCAELÝ GENÇLÝK VE SPOR,,,,,,,
237,MERSÝN GHSK,,,,,,,
238,MUÐLA TÜRK TELEKOM,,,,,,,
239,NÝÐDE GESK,,,,,,,
240,YALIKÖY ÞHT PT BARIÞ ÇAKIR O.O,,,,,,,
241,SPIN POINT SK,,,,,,,
242,YAVUZLAR SPOR,,,,,,,
243,ORDU GENÇLÝK VE SPOR ÝMSK,,,,,,,
244,SUPERPOOL FINDIKLI 1974 SPOR,,,,,,,
245,HAYAT GÜCÜ SPOR,,,,,,,
246,NAZÝLLÝ BELEDÝYE SPOR,,,,,,,
247,MAVÝ EGE SPOR,,,,,,,
248,DENÝZ MTSK,,,,,,,
