"id","name","alias","address","zipcode","location","state","country","founded","phone","fax","email","website","president","manager","logo_big","logo_middle","logo_small","standard_playground","notes","extended","ordering","checked_out","checked_out_time","modified","modified_by","dissolved","asset_id"
216,"SİVAS MASA TENİSCİLERİ SPOR DERNEĞİ","sivas-masa-teniscileri-dernegi","","","SİVAS","","TUR","","","","","","","","images/com_joomleague/database/placeholders/placeholder_150.png","images/com_joomleague/database/placeholders/placeholder_50.png","images/com_joomleague/database/placeholders/placeholder_small.gif",0,"","{""COM_JOOMLEAGUE_EXT_CLUB_YOUTHMANAGER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_YOUTHTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_CLUBTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_SECONDWWW"":""""}",216,0,0000-00-00 00:00:00,2022-12-02 07:32:42,485,"",1781
217,"MT MASTERS SPOR","mt-masters-spor","","","","","","","","","","","","","images/com_joomleague/database/clubs/large/large_mt-masters.png","images/com_joomleague/database/clubs/medium/medium_mt-masters_-_Kopya.png","images/com_joomleague/database/clubs/small/small_mt-masters.png",0,"","{""COM_JOOMLEAGUE_EXT_CLUB_YOUTHMANAGER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_YOUTHTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_CLUBTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_SECONDWWW"":""""}",217,0,0000-00-00 00:00:00,2023-10-06 11:46:53,485,"",5382
218,"BARBAROS HAYREDDİN SPOR","barbaros-hayreddin-spor","","","","","TUR","","","","","","","","images/com_joomleague/database/placeholders/placeholder_150.png","images/com_joomleague/database/placeholders/placeholder_50.png","images/com_joomleague/database/placeholders/placeholder_small.gif",0,"","{""COM_JOOMLEAGUE_EXT_CLUB_YOUTHMANAGER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_YOUTHTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_CLUBTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_SECONDWWW"":""""}",218,0,0000-00-00 00:00:00,2023-10-31 11:02:17,485,"",2594
219,"ANADOLU ÜNİVERSİTESİ","anadolu-universitesi","","","","","TUR","","","","","","","","images/com_joomleague/database/placeholders/placeholder_150.png","images/com_joomleague/database/placeholders/placeholder_50.png","images/com_joomleague/database/placeholders/placeholder_small.gif",0,"","{""COM_JOOMLEAGUE_EXT_CLUB_YOUTHMANAGER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_YOUTHTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_CLUBTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_SECONDWWW"":""""}",219,0,0000-00-00 00:00:00,,,"",2496
220,"DERİNCE BELEDİYESİ","derince-belediysi","","","","","TUR","","","","","","","","images/com_joomleague/database/placeholders/placeholder_150.png","images/com_joomleague/database/placeholders/placeholder_50.png","images/com_joomleague/database/placeholders/placeholder_small.gif",0,"","{""COM_JOOMLEAGUE_EXT_CLUB_YOUTHMANAGER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_YOUTHTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_CLUBTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_SECONDWWW"":""""}",220,0,0000-00-00 00:00:00,,,"",2498
221,"BOLU ÇİMENTO","bolu-cimento","","","","","TUR","","","","","","","","images/com_joomleague/database/placeholders/placeholder_150.png","images/com_joomleague/database/placeholders/placeholder_50.png","images/com_joomleague/database/placeholders/placeholder_small.gif",0,"","{""COM_JOOMLEAGUE_EXT_CLUB_YOUTHMANAGER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_YOUTHTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_CLUBTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_SECONDWWW"":""""}",221,0,0000-00-00 00:00:00,,,"",3216
222,"BOSCH SPOR","bosch-spor","","","","","TUR","","","","","","","","images/com_joomleague/database/placeholders/placeholder_150.png","images/com_joomleague/database/placeholders/placeholder_50.png","images/com_joomleague/database/placeholders/placeholder_small.gif",0,"","{""COM_JOOMLEAGUE_EXT_CLUB_YOUTHMANAGER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_YOUTHTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_CLUBTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_SECONDWWW"":""""}",222,0,0000-00-00 00:00:00,,,"",3459
223,"OSTİM SPOR","osti-m-spor","","","","","TUR","","","","","","","","images/com_joomleague/database/placeholders/placeholder_150.png","images/com_joomleague/database/placeholders/placeholder_50.png","images/com_joomleague/database/placeholders/placeholder_small.gif",0,"","{""COM_JOOMLEAGUE_EXT_CLUB_YOUTHMANAGER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_YOUTHTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_CLUBTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_SECONDWWW"":""""}",223,0,0000-00-00 00:00:00,,,"",3461
224,"RİXOS KÜLTÜR SANAT VE SPOR","rixos-kultur-sanat-ve-spor","","","","","TUR","","","","","","","","images/com_joomleague/database/placeholders/placeholder_150.png","images/com_joomleague/database/placeholders/placeholder_50.png","images/com_joomleague/database/placeholders/placeholder_small.gif",0,"","{""COM_JOOMLEAGUE_EXT_CLUB_YOUTHMANAGER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_YOUTHTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_CLUBTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_SECONDWWW"":""""}",224,0,0000-00-00 00:00:00,2023-11-15 06:19:46,485,"",3463
225,"SÜLEYMAN OĞUZ İOO","suleyman-oguz-ioo","","","","","TUR","","","","","","","","images/com_joomleague/database/placeholders/placeholder_150.png","images/com_joomleague/database/placeholders/placeholder_50.png","images/com_joomleague/database/placeholders/placeholder_small.gif",0,"","{""COM_JOOMLEAGUE_EXT_CLUB_YOUTHMANAGER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_YOUTHTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_CLUBTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_SECONDWWW"":""""}",225,0,0000-00-00 00:00:00,2023-11-15 06:20:56,485,"",3465
